,url
158011,"['council', 'bluffs', '2018', 'dodge', 'charger-gt-awd']"
158103,"['omaha', '2018', 'dodge', 'durango', 'srt-awd-octane']"
158119,"['omaha', '2018', 'chevrolet', 'traverse', 'awd-4dr']"
158125,"['omaha', '2019', 'buick', 'enclave', 'fwd-4dr-avenir']"
158134,"['omaha', '2018', 'ford', 'focus', 'se-hatch-ingot']"
158146,"['council', 'bluffs', '2019', 'chevrolet', 'trax-fwd']"
158147,"['council', 'bluffs', '2018', 'chevrolet', 'tahoe-4wd']"
158149,"['council', 'bluffs', '2018', 'chevrolet', 'cruze-4dr']"
158150,"['council', 'bluffs', '2019', 'chevrolet', 'cruze-4dr']"
158152,"['council', 'bluffs', '2019', 'honda', 'civic']"
158239,"['omaha', '2020', 'chevrolet', 'impala', '4dr-sedan']"
158246,"['omaha', '2018', 'ford', 'transit', 'van-med-rf-9000']"
158252,"['omaha', '2018', 'acura', 'tlx', '24l-fwd-lunar']"
158268,"['council', 'bluffs', '2018', 'ford', 'focus-st-hatch']"
158311,"['omaha', '2019', 'chevrolet', 'equinox', 'fwd-4dr-lt']"
158313,"['omaha', '2018', 'mazda', 'mazda3', 'door-touring']"
158318,"['omaha', '2018', 'subaru', 'crosstrek', '20i-cvt']"
158336,"['omaha', '2019', 'chevrolet', 'traverse', 'awd-4dr']"
158338,"['council', 'bluffs', '2018', 'nissan', 'murano-awd-sv']"
158339,"['council', 'bluffs', '2018', 'mazda', 'cx-signature']"
158342,"['council', 'bluffs', '2018', 'buick', 'enclave-awd']"
158343,"['council', 'bluffs', '2019', 'honda', 'passport-ex']"
158431,"['omaha', '2018', 'subaru', 'crosstrek', '20i-cvt']"
158437,"['omaha', '2018', 'gmc', 'sierra', '2500hd-4wd-crew']"
158464,"['omaha', '2018', 'subaru', 'legacy', '25i-premium']"
158490,"['council', 'bluffs', '2018', 'gmc', 'terrain-awd-4dr']"
158540,"['council', 'bluffs', '2018', 'nissan', 'murano-awd-sl']"
158665,"['omaha', '2018', 'chevrolet', 'colorado', '4wd-crew']"
158671,"['omaha', '2019', 'subaru', 'crosstrek', '20i-limited']"
158676,"['omaha', '2018', 'jeep', 'cherokee', 'overland-4x4']"
158757,"['omaha', '2018', 'subaru', 'forester', '25i-cvt']"
158760,"['omaha', '2018', 'jeep', 'renegade', 'latitude-fwd']"
158891,"['omaha', '2018', 'chevrolet', 'traverse', 'awd-4dr']"
158905,"['omaha', '2019', 'dodge', 'durango', 'sxt-plus-awd']"
158907,"['omaha', '2019', 'volkswagen', 'golf', 'gti-20t']"
158919,"['omaha', '2018', 'nissan', 'frontier', 'crew-cab-4x4']"
